v8-version,5,1,281,101,0
shared-library,"/usr/bin/nodejs",0x00400000,0x01c09000
shared-library,"/lib/x86_64-linux-gnu/libc-2.23.so",0x7f08849bf000,0x7f0884b7e000
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.23.so",0x7f0884d88000,0x7f0884da0000
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7f0884fa5000,0x7f0884fbb000
shared-library,"/lib/x86_64-linux-gnu/libm-2.23.so",0x7f08851bb000,0x7f08852c3000
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21",0x7f08854c4000,0x7f0885636000
shared-library,"/lib/x86_64-linux-gnu/librt-2.23.so",0x7f0885846000,0x7f088584d000
shared-library,"/lib/x86_64-linux-gnu/libdl-2.23.so",0x7f0885a4e000,0x7f0885a51000
shared-library,"/lib/x86_64-linux-gnu/ld-2.23.so",0x7f0885c52000,0x7f0885c78000
shared-library,"[vdso]",0x7ffea3582000,0x7ffea3584000
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000
profiler,"begin",1
tick,0x7f0884ab56fd,4755,0,0x0,4
tick,0x7f0884b0c3fa,6597,0,0x0,4
code-creation,Stub,3,0x3742f9006000,454,"CallConstructStub"
code-creation,Stub,3,0x3742f90061e0,539,"CreateAllocationSiteStub"
code-creation,Stub,3,0x3742f9006400,2421,"RecordWriteStub"
code-creation,Stub,3,0x3742f9006d80,388,"StoreBufferOverflowStub"
code-creation,Stub,3,0x3742f9006f20,2380,"RecordWriteStub"
code-creation,Stub,3,0x3742f9007880,577,"CEntryStub"
code-creation,Stub,3,0x3742f9007ae0,431,"CreateWeakCellStub"
code-creation,Stub,3,0x3742f9007ca0,2422,"RecordWriteStub"
code-creation,Stub,3,0x3742f9008620,2376,"RecordWriteStub"
code-creation,Builtin,5,0x3742f9008f80,168,"Construct"
code-creation,Builtin,5,0x3742f9009040,114,"ConstructFunction"
code-creation,Builtin,5,0x3742f90090c0,259,"ConstructBoundFunction"
code-creation,Stub,3,0x3742f90091e0,392,"CEntryStub"
code-creation,Builtin,5,0x3742f9009380,121,"ConstructProxy"
code-creation,Builtin,5,0x3742f9009400,406,"CallFunction_ReceiverIsAny"
code-creation,Stub,3,0x3742f90095a0,435,"ToObjectStub"
code-creation,Builtin,5,0x3742f9009760,353,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,0x3742f90098e0,149,"ConstructedNonConstructable"
code-creation,Stub,16,0x3742f9009980,186,"CompareICStub"
code-creation,Stub,15,0x3742f9009a40,204,"BinaryOpICStub"
code-creation,Handler,4,0x3742f9009b20,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f9009ba0,443,"BinaryOpICStub"
code-creation,Handler,4,0x3742f9009d60,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f9009de0,511,"ArrayNoArgumentConstructorStub"
code-creation,Stub,15,0x3742f9009fe0,244,"BinaryOpICStub"
code-creation,Stub,3,0x3742f900a0e0,495,"InternalArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x3742f900a2e0,2376,"RecordWriteStub"
code-creation,CallIC,12,0x3742f900ac40,458,"A call IC from the snapshot"
code-creation,Stub,3,0x3742f900ae20,285,"ArrayConstructorStub"
code-creation,Stub,3,0x3742f900af40,539,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x3742f900b160,551,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x3742f900b3a0,491,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x3742f900b5a0,491,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x3742f900b7a0,511,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x3742f900b9a0,503,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,0x3742f900bba0,248,"Call_ReceiverIsAny"
code-creation,Builtin,5,0x3742f900bca0,259,"CallBoundFunction"
code-creation,Builtin,5,0x3742f900bdc0,381,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,15,0x3742f900bf40,284,"BinaryOpICStub"
code-creation,Stub,16,0x3742f900c060,186,"CompareICStub"
code-creation,Stub,3,0x3742f900c120,2392,"RecordWriteStub"
code-creation,Stub,15,0x3742f900ca80,151,"BinaryOpICStub"
code-creation,Stub,3,0x3742f900cb20,142,"StringToNumberStub"
code-creation,Stub,3,0x3742f900cbc0,1307,"FastNewContextStub"
code-creation,Stub,15,0x3742f900d0e0,151,"BinaryOpICStub"
code-creation,Stub,15,0x3742f900d180,443,"BinaryOpICStub"
code-creation,Stub,3,0x3742f900d340,1538,"RecordWriteStub"
code-creation,Stub,3,0x3742f900d960,168,"StoreBufferOverflowStub"
code-creation,Stub,3,0x3742f900da20,1035,"FastNewContextStub"
code-creation,Handler,4,0x3742f900de40,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f900dec0,415,"BinaryOpICStub"
code-creation,Stub,3,0x3742f900e060,2376,"RecordWriteStub"
