v8-version,5,1,281,101,0
shared-library,"/usr/bin/nodejs",0x00400000,0x01c09000
shared-library,"/lib/x86_64-linux-gnu/libc-2.23.so",0x7f0951af5000,0x7f0951cb4000
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.23.so",0x7f0951ebe000,0x7f0951ed6000
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7f09520db000,0x7f09520f1000
shared-library,"/lib/x86_64-linux-gnu/libm-2.23.so",0x7f09522f1000,0x7f09523f9000
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21",0x7f09525fa000,0x7f095276c000
shared-library,"/lib/x86_64-linux-gnu/librt-2.23.so",0x7f095297c000,0x7f0952983000
shared-library,"/lib/x86_64-linux-gnu/libdl-2.23.so",0x7f0952b84000,0x7f0952b87000
shared-library,"/lib/x86_64-linux-gnu/ld-2.23.so",0x7f0952d88000,0x7f0952dae000
shared-library,"[vdso]",0x7fff9ddef000,0x7fff9ddf1000
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000
profiler,"begin",1
tick,0x7f0951beb6fd,8769,0,0x0,4
tick,0x988136,9186,0,0x0,4
tick,0xfa2fb7,10239,0,0x0,4
tick,0x986a9a,11327,0,0x0,1
tick,0x7f0951ecdc0c,12718,0,0x0,1
code-creation,Stub,3,0x22b1b5506000,454,"CallConstructStub"
code-creation,Stub,3,0x22b1b55061e0,539,"CreateAllocationSiteStub"
code-creation,Stub,3,0x22b1b5506400,2421,"RecordWriteStub"
code-creation,Stub,3,0x22b1b5506d80,388,"StoreBufferOverflowStub"
code-creation,Stub,3,0x22b1b5506f20,2380,"RecordWriteStub"
code-creation,Stub,3,0x22b1b5507880,577,"CEntryStub"
code-creation,Stub,3,0x22b1b5507ae0,431,"CreateWeakCellStub"
code-creation,Stub,3,0x22b1b5507ca0,2422,"RecordWriteStub"
code-creation,Stub,3,0x22b1b5508620,2376,"RecordWriteStub"
code-creation,Builtin,5,0x22b1b5508f80,168,"Construct"
code-creation,Builtin,5,0x22b1b5509040,114,"ConstructFunction"
code-creation,Builtin,5,0x22b1b55090c0,259,"ConstructBoundFunction"
code-creation,Stub,3,0x22b1b55091e0,392,"CEntryStub"
code-creation,Builtin,5,0x22b1b5509380,121,"ConstructProxy"
code-creation,Builtin,5,0x22b1b5509400,406,"CallFunction_ReceiverIsAny"
code-creation,Stub,3,0x22b1b55095a0,435,"ToObjectStub"
code-creation,Builtin,5,0x22b1b5509760,353,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,0x22b1b55098e0,149,"ConstructedNonConstructable"
code-creation,Stub,16,0x22b1b5509980,186,"CompareICStub"
code-creation,Stub,15,0x22b1b5509a40,204,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b5509b20,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b5509ba0,443,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b5509d60,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b5509de0,511,"ArrayNoArgumentConstructorStub"
code-creation,Stub,15,0x22b1b5509fe0,244,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b550a0e0,495,"InternalArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x22b1b550a2e0,2376,"RecordWriteStub"
code-creation,CallIC,12,0x22b1b550ac40,458,"A call IC from the snapshot"
code-creation,Stub,3,0x22b1b550ae20,285,"ArrayConstructorStub"
code-creation,Stub,3,0x22b1b550af40,539,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x22b1b550b160,551,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x22b1b550b3a0,491,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x22b1b550b5a0,491,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x22b1b550b7a0,511,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x22b1b550b9a0,503,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,0x22b1b550bba0,248,"Call_ReceiverIsAny"
code-creation,Builtin,5,0x22b1b550bca0,259,"CallBoundFunction"
code-creation,Builtin,5,0x22b1b550bdc0,381,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,15,0x22b1b550bf40,284,"BinaryOpICStub"
code-creation,Stub,16,0x22b1b550c060,186,"CompareICStub"
code-creation,Stub,3,0x22b1b550c120,2392,"RecordWriteStub"
code-creation,Stub,15,0x22b1b550ca80,151,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b550cb20,142,"StringToNumberStub"
code-creation,Stub,3,0x22b1b550cbc0,1307,"FastNewContextStub"
code-creation,Stub,15,0x22b1b550d0e0,151,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b550d180,443,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b550d340,1538,"RecordWriteStub"
code-creation,Stub,3,0x22b1b550d960,168,"StoreBufferOverflowStub"
code-creation,Stub,3,0x22b1b550da20,1035,"FastNewContextStub"
code-creation,Handler,4,0x22b1b550de40,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b550dec0,415,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b550e060,2376,"RecordWriteStub"
code-creation,Stub,3,0x22b1b550e9c0,899,"FastNewContextStub"
code-creation,Stub,15,0x22b1b550ed60,204,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b550ee40,151,"BinaryOpICStub"
code-creation,CallIC,12,0x22b1b550eee0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x22b1b550ef60,464,"A call IC from the snapshot"
code-creation,Stub,3,0x22b1b550f140,284,"ArrayConstructorStub"
code-creation,Stub,3,0x22b1b550f260,762,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x22b1b550f560,2434,"RecordWriteStub"
code-creation,Stub,3,0x22b1b550ff00,770,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x22b1b5510220,571,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x22b1b5510460,571,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x22b1b55106a0,503,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x22b1b55108a0,503,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x22b1b5510aa0,543,"ArrayNArgumentsConstructorStub"
code-creation,CallIC,12,0x22b1b5510cc0,113,"A call IC from the snapshot"
code-creation,Stub,3,0x22b1b5510d40,2360,"RecordWriteStub"
code-creation,Stub,15,0x22b1b5511680,356,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b5511800,184,"DoubleToIStub"
code-creation,Stub,3,0x22b1b55118c0,507,"NumberToStringStub"
code-creation,Stub,3,0x22b1b5511ac0,182,"DoubleToIStub"
code-creation,Stub,15,0x22b1b5511b80,204,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b5511c60,244,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b5511d60,182,"DoubleToIStub"
code-creation,Stub,15,0x22b1b5511e20,443,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b5511fe0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5512060,328,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b55121c0,791,"FastNewClosureStub"
code-creation,Stub,3,0x22b1b55124e0,2410,"RecordWriteStub"
code-creation,Stub,3,0x22b1b5512e60,2406,"RecordWriteStub"
code-creation,CallIC,12,0x22b1b55137e0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x22b1b5513860,464,"A call IC from the snapshot"
code-creation,Builtin,5,0x22b1b5513a40,248,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Stub,15,0x22b1b5513b40,151,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b5513be0,575,"FastNewContextStub"
code-creation,Stub,3,0x22b1b5513e20,523,"FastNewContextStub"
code-creation,Stub,15,0x22b1b5514040,471,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b5514220,328,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5514380,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5514400,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b5514480,320,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b55145c0,1224,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x22b1b5514aa0,363,"FastNewContextStub"
code-creation,Stub,15,0x22b1b5514c20,447,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b5514de0,443,"BinaryOpICStub"
code-creation,CallIC,12,0x22b1b5514fa0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x22b1b5515020,464,"A call IC from the snapshot"
code-creation,Stub,15,0x22b1b5515200,447,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b55153c0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5515440,240,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b5515540,2372,"RecordWriteStub"
code-creation,Stub,15,0x22b1b5515ea0,276,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b5515fc0,188,"DoubleToIStub"
code-creation,Stub,3,0x22b1b5516080,419,"FastNewContextStub"
