v8-version,5,1,281,101,0
shared-library,"/usr/bin/nodejs",0x00400000,0x01c09000
shared-library,"/lib/x86_64-linux-gnu/libc-2.23.so",0x7f48cc4b9000,0x7f48cc678000
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.23.so",0x7f48cc882000,0x7f48cc89a000
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7f48cca9f000,0x7f48ccab5000
shared-library,"/lib/x86_64-linux-gnu/libm-2.23.so",0x7f48cccb5000,0x7f48ccdbd000
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21",0x7f48ccfbe000,0x7f48cd130000
shared-library,"/lib/x86_64-linux-gnu/librt-2.23.so",0x7f48cd340000,0x7f48cd347000
shared-library,"/lib/x86_64-linux-gnu/libdl-2.23.so",0x7f48cd548000,0x7f48cd54b000
shared-library,"/lib/x86_64-linux-gnu/ld-2.23.so",0x7f48cd74c000,0x7f48cd772000
shared-library,"[vdso]",0x7ffec0f48000,0x7ffec0f4a000
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000
profiler,"begin",1
tick,0x7f48cc5af6fd,1545,0,0x0,4
tick,0xfa411f,2582,0,0x0,4
tick,0xccb55f,3675,0,0x0,1
tick,0xfb4beb,5258,0,0x0,1
tick,0xcec97e,5857,0,0x0,4
code-creation,Stub,3,0x3cbbd6706000,454,"CallConstructStub"
code-creation,Stub,3,0x3cbbd67061e0,539,"CreateAllocationSiteStub"
code-creation,Stub,3,0x3cbbd6706400,2421,"RecordWriteStub"
code-creation,Stub,3,0x3cbbd6706d80,388,"StoreBufferOverflowStub"
code-creation,Stub,3,0x3cbbd6706f20,2380,"RecordWriteStub"
code-creation,Stub,3,0x3cbbd6707880,577,"CEntryStub"
code-creation,Stub,3,0x3cbbd6707ae0,431,"CreateWeakCellStub"
code-creation,Stub,3,0x3cbbd6707ca0,2422,"RecordWriteStub"
code-creation,Stub,3,0x3cbbd6708620,2376,"RecordWriteStub"
code-creation,Builtin,5,0x3cbbd6708f80,168,"Construct"
code-creation,Builtin,5,0x3cbbd6709040,114,"ConstructFunction"
code-creation,Builtin,5,0x3cbbd67090c0,259,"ConstructBoundFunction"
code-creation,Stub,3,0x3cbbd67091e0,392,"CEntryStub"
code-creation,Builtin,5,0x3cbbd6709380,121,"ConstructProxy"
code-creation,Builtin,5,0x3cbbd6709400,406,"CallFunction_ReceiverIsAny"
code-creation,Stub,3,0x3cbbd67095a0,435,"ToObjectStub"
code-creation,Builtin,5,0x3cbbd6709760,353,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,0x3cbbd67098e0,149,"ConstructedNonConstructable"
code-creation,Stub,16,0x3cbbd6709980,186,"CompareICStub"
code-creation,Stub,15,0x3cbbd6709a40,204,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd6709b20,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd6709ba0,443,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd6709d60,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd6709de0,511,"ArrayNoArgumentConstructorStub"
code-creation,Stub,15,0x3cbbd6709fe0,244,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd670a0e0,495,"InternalArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x3cbbd670a2e0,2376,"RecordWriteStub"
code-creation,CallIC,12,0x3cbbd670ac40,458,"A call IC from the snapshot"
code-creation,Stub,3,0x3cbbd670ae20,285,"ArrayConstructorStub"
code-creation,Stub,3,0x3cbbd670af40,539,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x3cbbd670b160,551,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x3cbbd670b3a0,491,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x3cbbd670b5a0,491,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x3cbbd670b7a0,511,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x3cbbd670b9a0,503,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,0x3cbbd670bba0,248,"Call_ReceiverIsAny"
code-creation,Builtin,5,0x3cbbd670bca0,259,"CallBoundFunction"
code-creation,Builtin,5,0x3cbbd670bdc0,381,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,15,0x3cbbd670bf40,284,"BinaryOpICStub"
code-creation,Stub,16,0x3cbbd670c060,186,"CompareICStub"
code-creation,Stub,3,0x3cbbd670c120,2392,"RecordWriteStub"
code-creation,Stub,15,0x3cbbd670ca80,151,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd670cb20,142,"StringToNumberStub"
code-creation,Stub,3,0x3cbbd670cbc0,1307,"FastNewContextStub"
code-creation,Stub,15,0x3cbbd670d0e0,151,"BinaryOpICStub"
