Statistical profiling result from isolate-0x2212260-v8.log, (3434 ticks, 154 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     87    2.5%          /usr/bin/nodejs
     26    0.8%          /lib/x86_64-linux-gnu/libc-2.23.so
      1    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
   1246   36.3%   37.5%  LazyCompile: *Mexp.lex /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/lexer.js:153:21
     41    1.2%    1.2%  LazyCompile: *Mexp.postfixEval /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:2:39
     38    1.1%    1.1%  Stub: StringEqualStub
     35    1.0%    1.1%  LazyCompile: *Mexp.toPostfix /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix.js:4:38
     35    1.0%    1.1%  KeyedLoadIC: A keyed load IC from the snapshot {1}
     30    0.9%    0.9%  Stub: CEntryStub
     20    0.6%    0.6%  Stub: VectorKeyedStoreICStub
     13    0.4%    0.4%  Stub: StringAddStub_CheckNone_NotTenured
     11    0.3%    0.3%  Stub: CompareICStub {1}
     10    0.3%    0.3%  Stub: CompareICStub
      9    0.3%    0.3%  Stub: JSEntryStub
      9    0.3%    0.3%  Stub: GrowArrayElementsStub
      7    0.2%    0.2%  KeyedStoreIC: A keyed store IC from the snapshot
      6    0.2%    0.2%  Builtin: JSEntryTrampoline
      6    0.2%    0.2%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
      4    0.1%    0.1%  LazyCompile: *<anonymous> /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:1:11
      3    0.1%    0.1%  Stub: StringToNumberStub
      3    0.1%    0.1%  Builtin: NumberConstructor
      2    0.1%    0.1%  Stub: ToNumberStub
      2    0.1%    0.1%  LazyCompile: *valueOf native v8natives.js:80:23
      2    0.1%    0.1%  LazyCompile: *div /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/math_function.js:51:17
      2    0.1%    0.1%  Builtin: Call_ReceiverIsNotNullOrUndefined
      2    0.1%    0.1%  Builtin: CallFunction_ReceiverIsAny
      1    0.0%    0.0%  Stub: StoreFieldStub
      1    0.0%    0.0%  Stub: NonNumberToNumberStub
      1    0.0%    0.0%  Stub: CEntryStub {1}
      1    0.0%    0.0%  LazyCompile: ~runInThisContext bootstrap_node.js:399:28
      1    0.0%    0.0%  LazyCompile: ~Mexp.lex /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/lexer.js:153:21
      1    0.0%    0.0%  LazyCompile: ~Mexp.eval /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:92:19
      1    0.0%    0.0%  LazyCompile: *mul /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/math_function.js:71:17
      1    0.0%    0.0%  LazyCompile: *add /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/math_function.js:10:17
      1    0.0%    0.0%  KeyedLoadIC: A keyed load IC from the snapshot
      1    0.0%    0.0%  Handler: An IC handler from the snapshot
      1    0.0%    0.0%  Builtin: FunctionPrototypeToString
      1    0.0%    0.0%  Builtin: ArgumentsAdaptorTrampoline

 [C++]:
   ticks  total  nonlib   name
    135    3.9%    4.1%  void v8::internal::LookupIterator::Start<false>()
     82    2.4%    2.5%  v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, bool*, v8::internal::LookupIterator::Configuration)
     80    2.3%    2.4%  v8::internal::LookupIterator::WriteDataValue(v8::internal::Handle<v8::internal::Object>)
     64    1.9%    1.9%  v8::internal::String::SlowEquals(v8::internal::String*)
     62    1.8%    1.9%  v8::internal::Factory::GetNumberStringCache(v8::internal::Handle<v8::internal::Object>)
     55    1.6%    1.7%  v8::internal::Factory::NumberToString(v8::internal::Handle<v8::internal::Object>, bool)
     50    1.5%    1.5%  write
     47    1.4%    1.4%  v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape, v8::internal::HashTableKey*>::FindEntry(v8::internal::Isolate*, v8::internal::HashTableKey*)
     45    1.3%    1.4%  v8::internal::JSFunction::ToString(v8::internal::Handle<v8::internal::JSFunction>)
     40    1.2%    1.2%  void v8::internal::LookupIterator::NextInternal<false>(v8::internal::Map*, v8::internal::JSReceiver*)
     40    1.2%    1.2%  v8::internal::Object::SetProperty(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode, v8::internal::Object::StoreFromKeyed)
     38    1.1%    1.1%  v8::internal::LookupIterator::GetDataValue() const
     37    1.1%    1.1%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
     35    1.0%    1.1%  v8::internal::StringTable::LookupString(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>)
     31    0.9%    0.9%  v8::internal::JSReceiver::GetProperty(v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::Handle<v8::internal::Name>)
     30    0.9%    0.9%  v8::internal::Execution::Call(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*)
     29    0.8%    0.9%  node::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     28    0.8%    0.8%  v8::internal::Runtime_SetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
