Statistical profiling result from isolate-0x23ed260-v8.log, (2970 ticks, 103 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     89    3.0%          /usr/bin/nodejs
     11    0.4%          /lib/x86_64-linux-gnu/libc-2.23.so
      1    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21

 [JavaScript]:
   ticks  total  nonlib   name
   1138   38.3%   39.7%  LazyCompile: *Mexp.lex /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/lexer.js:153:21
     59    2.0%    2.1%  LazyCompile: *Mexp.toPostfix /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix.js:4:38
     55    1.9%    1.9%  Stub: StringEqualStub
     39    1.3%    1.4%  KeyedLoadIC: A keyed load IC from the snapshot
     34    1.1%    1.2%  LazyCompile: *Mexp.postfixEval /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:2:39
     32    1.1%    1.1%  Stub: CEntryStub
     18    0.6%    0.6%  KeyedStoreIC: A keyed store IC from the snapshot
     13    0.4%    0.5%  Stub: JSEntryStub
     11    0.4%    0.4%  Stub: VectorKeyedStoreICStub
     10    0.3%    0.3%  Stub: GrowArrayElementsStub
     10    0.3%    0.3%  Stub: CompareICStub
      8    0.3%    0.3%  Stub: CompareICStub {1}
      8    0.3%    0.3%  LazyCompile: *valueOf native v8natives.js:80:23
      6    0.2%    0.2%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
      5    0.2%    0.2%  Builtin: JSEntryTrampoline
      4    0.1%    0.1%  Stub: StringAddStub_CheckNone_NotTenured
      4    0.1%    0.1%  Builtin: CallFunction_ReceiverIsAny
      4    0.1%    0.1%  Builtin: ArgumentsAdaptorTrampoline
      3    0.1%    0.1%  Builtin: NumberConstructor
      2    0.1%    0.1%  LazyCompile: *toFixed native v8natives.js:666:25
      1    0.0%    0.0%  Stub: ToNumberStub
      1    0.0%    0.0%  Stub: ToIntegerStub
      1    0.0%    0.0%  Stub: NonNumberToNumberStub
      1    0.0%    0.0%  Stub: FastNewObjectStub
      1    0.0%    0.0%  LazyCompile: ~Mexp.toPostfix /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix.js:4:38
      1    0.0%    0.0%  LazyCompile: *<anonymous> /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:1:11
      1    0.0%    0.0%  Function: ~<anonymous> util.js:1:11
      1    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined
      1    0.0%    0.0%  Builtin: Call_ReceiverIsAny

 [C++]:
   ticks  total  nonlib   name
     90    3.0%    3.1%  void v8::internal::LookupIterator::Start<false>()
     82    2.8%    2.9%  v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, bool*, v8::internal::LookupIterator::Configuration)
     71    2.4%    2.5%  v8::internal::Factory::NumberToString(v8::internal::Handle<v8::internal::Object>, bool)
     64    2.2%    2.2%  v8::internal::LookupIterator::WriteDataValue(v8::internal::Handle<v8::internal::Object>)
     63    2.1%    2.2%  void v8::internal::LookupIterator::NextInternal<false>(v8::internal::Map*, v8::internal::JSReceiver*)
     59    2.0%    2.1%  write
     40    1.3%    1.4%  v8::internal::LookupIterator::GetDataValue() const
     40    1.3%    1.4%  v8::internal::JSReceiver::OrdinaryToPrimitive(v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::OrdinaryToPrimitiveHint)
     38    1.3%    1.3%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
     36    1.2%    1.3%  v8::internal::JSFunction::ToString(v8::internal::Handle<v8::internal::JSFunction>)
     30    1.0%    1.0%  node::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     29    1.0%    1.0%  v8::internal::Runtime_SetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
     27    0.9%    0.9%  v8::internal::Factory::GetNumberStringCache(v8::internal::Handle<v8::internal::Object>)
     27    0.9%    0.9%  v8::internal::Execution::Call(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*)
     24    0.8%    0.8%  v8::internal::JSReceiver::GetProperty(v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::Handle<v8::internal::Name>)
     23    0.8%    0.8%  v8::internal::Runtime_KeyedGetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
     23    0.8%    0.8%  v8::internal::LookupIterator::PrepareForDataProperty(v8::internal::Handle<v8::internal::Object>)
     22    0.7%    0.8%  v8::internal::Runtime::SetObjectProperty(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode)
     22    0.7%    0.8%  v8::internal::JSObject::FastPropertyAt(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Representation, v8::internal::FieldIndex)
     21    0.7%    0.7%  v8::internal::Object::GetProperty(v8::internal::LookupIterator*)
     21    0.7%    0.7%  v8::internal::Object::ConvertToName(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>)
     19    0.6%    0.7%  v8::internal::Object::SetProperty(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode, v8::internal::Object::StoreFromKeyed)
     18    0.6%    0.6%  v8::internal::Object::Equals(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>)
     16    0.5%    0.6%  v8::internal::SerializerDeserializer::Iterate(v8::internal::Isolate*, v8::internal::ObjectVisitor*)
     16    0.5%    0.6%  v8::internal::Object::SetDataProperty(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>)
     16    0.5%    0.6%  v8::internal::IncrementalStringBuilder::AppendString(v8::internal::Handle<v8::internal::String>)
     16    0.5%    0.6%  v8::internal::Factory::NewConsString(v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::String>)
     14    0.5%    0.5%  v8::internal::Heap::AdjustLiveBytes(v8::internal::HeapObject*, int, v8::internal::Heap::InvocationMode)
     13    0.4%    0.5%  v8::internal::Object::GetMethod(v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::Handle<v8::internal::Name>)
     12    0.4%    0.4%  v8::internal::SeqString::Truncate(v8::internal::Handle<v8::internal::SeqString>, int)
     12    0.4%    0.4%  v8::internal::Object::ToString(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>)
     11    0.4%    0.4%  v8::internal::Runtime_Equal(int, v8::internal::Object**, v8::internal::Isolate*)
     11    0.4%    0.4%  v8::internal::Heap::AllocateHeapNumber(double, v8::internal::MutableMode, v8::internal::PretenureFlag)
     10    0.3%    0.3%  v8::internal::SaveContext::SaveContext(v8::internal::Isolate*)
     10    0.3%    0.3%  v8::internal::Runtime::GetObjectProperty(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>)
     10    0.3%    0.3%  v8::internal::Object::SetPropertyInternal(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode, v8::internal::Object::StoreFromKeyed, bool*)
     10    0.3%    0.3%  v8::internal::JSReceiver::ToPrimitive(v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::ToPrimitiveHint)
     10    0.3%    0.3%  v8::internal::IncrementalStringBuilder::Finish()
      9    0.3%    0.3%  v8::internal::Factory::NewProperSubString(v8::internal::Handle<v8::internal::String>, int, int)
      8    0.3%    0.3%  v8::internal::LookupIterator::LookupIterator(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::LookupIterator::Configuration)
      8    0.3%    0.3%  v8::internal::Factory::NewRawOneByteString(int, v8::internal::PretenureFlag)
      6    0.2%    0.2%  v8::internal::SharedFunctionInfo::HasSourceCode() const
      6    0.2%    0.2%  v8::internal::Heap::Allocate(v8::internal::Map*, v8::internal::AllocationSpace, v8::internal::AllocationSite*)
      6    0.2%    0.2%  v8::internal::Handle<v8::internal::SlicedString> v8::internal::Factory::New<v8::internal::SlicedString>(v8::internal::Handle<v8::internal::Map>, v8::internal::AllocationSpace)
      6    0.2%    0.2%  v8::internal::Handle<v8::internal::ConsString> v8::internal::Factory::New<v8::internal::ConsString>(v8::internal::Handle<v8::internal::Map>, v8::internal::AllocationSpace)
