Statistical profiling result from isolate-0x2fb4260-v8.log, (2263 ticks, 64 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     59    2.6%          /usr/bin/nodejs
     17    0.8%          /lib/x86_64-linux-gnu/libc-2.23.so
      2    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21
      1    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
   1085   47.9%   49.7%  LazyCompile: *Mexp.lex /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/lexer.js:153:31
     49    2.2%    2.2%  Stub: StringEqualStub
     38    1.7%    1.7%  Stub: CEntryStub
     33    1.5%    1.5%  LazyCompile: *Mexp.toPostfix /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix.js:3:37
     31    1.4%    1.4%  LazyCompile: *Mexp.postfixEval /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:2:39
     31    1.4%    1.4%  KeyedLoadIC: A keyed load IC from the snapshot
     16    0.7%    0.7%  KeyedStoreIC: A keyed store IC from the snapshot
      8    0.4%    0.4%  Stub: VectorKeyedStoreICStub
      8    0.4%    0.4%  Stub: StringAddStub_CheckNone_NotTenured
      8    0.4%    0.4%  Stub: CompareICStub
      6    0.3%    0.3%  Stub: GrowArrayElementsStub
      4    0.2%    0.2%  Stub: CompareICStub {1}
      2    0.1%    0.1%  Stub: NonNumberToNumberStub
      2    0.1%    0.1%  LazyCompile: *<anonymous> /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:1:11
      2    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
      1    0.0%    0.0%  Stub: ToStringStub
      1    0.0%    0.0%  Stub: ToNumberStub
      1    0.0%    0.0%  Stub: StringToNumberStub
      1    0.0%    0.0%  LazyCompile: ~exec native regexp.js:116:30
      1    0.0%    0.0%  LazyCompile: ~defineProperty native v8natives.js:573:30
      1    0.0%    0.0%  LazyCompile: ~NativeModule.require bootstrap_node.js:415:34
      1    0.0%    0.0%  LazyCompile: ~Mexp.postfixEval /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:2:39
      1    0.0%    0.0%  LazyCompile: ~Mexp.lex /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/lexer.js:153:31
      1    0.0%    0.0%  LazyCompile: ~Mexp.eval /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:105:22
      1    0.0%    0.0%  LazyCompile: *toFixed native v8natives.js:666:25
      1    0.0%    0.0%  LazyCompile: *parseFloat native v8natives.js:59:26
      1    0.0%    0.0%  LazyCompile: *div /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/math_function.js:51:17
      1    0.0%    0.0%  Function: ~<anonymous> /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:1:11
      1    0.0%    0.0%  Builtin: NumberConstructor
      1    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined
      1    0.0%    0.0%  Builtin: ArgumentsAdaptorTrampoline

 [C++]:
   ticks  total  nonlib   name
     76    3.4%    3.5%  v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, bool*, v8::internal::LookupIterator::Configuration)
     57    2.5%    2.6%  v8::internal::LookupIterator::WriteDataValue(v8::internal::Handle<v8::internal::Object>)
     52    2.3%    2.4%  void v8::internal::LookupIterator::Start<false>()
     51    2.3%    2.3%  v8::internal::Factory::NumberToString(v8::internal::Handle<v8::internal::Object>, bool)
